id,name,url,description,lat,lon,score,city_id
21,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud (Inter-Hotel)","https://www.booking.com/hotel/fr/lessalines.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud is located just a 10-minute drive from Le Mont Saint Michel and a 35-minute drive from Saint Malo.",48.5964042180982,-1.58920347690582,3,1
22,Hôtel Ariane & SPA,"https://www.booking.com/hotel/fr/ariane-pontorson.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","This charming hotel sits at the border of Brittany and Normandy, just a 5-minute drive from the Mont-Saint-Michel. Set in a garden, it has an outdoor terrace and spacious rooms.",48.5524029227076,-1.50712251663208,3,1
23,Aux Chambres du Mont,"https://www.booking.com/hotel/fr/la-casserole-de-la-baie.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Aux chambres du Mont is located in Huisnes-sur-Mer, just 7 km from the famous Mont Saint-Michel and 19 km from Avranches. Free WiFi access is offered.",48.608511,-1.45232599999997,3,1
24,Best Western Hôtel Montgomery,"https://www.booking.com/hotel/fr/montgomery.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","A 20 minutes' drive from Mont-Saint-Michel, the hotel is a 16th century old manor located in Pontorson.",48.5529106981209,-1.5114837884903,3,1
25,Vacancéole - Le Domaine du Mont - Mont St Michel,"https://www.booking.com/hotel/fr/et-residence-club-mmv-le-domaine-du-mont.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Located just 18 km from Mont Saint Michel in Roz-Sur-Couesnon,  Vacancéole Le Domaine du Mont offers a shaded outdoor terrace. Some of the rooms are air conditioned.",48.5935250916381,-1.59637033939362,3,1
26,Grand Hôtel du Luxembourg,"https://www.booking.com/hotel/fr/hotelduluxembourg.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=68a66f2c100200a8&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",This 17th-century mansion has been converted into a charming hotel with a gastronomic restaurant and an outdoor heated pool which is accessible all year round.,49.2784219113555,-0.703296661376953,4,3
27,Château de Bellefontaine,"https://www.booking.com/hotel/fr/chateau-de-bellefontaine.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=68a66f2c100200a8&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Located 800 metres from central Bayeux and its cathedral, this 18th-century mansion offers guest rooms and a traditional restaurant open for dinner upon reservation.",49.2697402411469,-0.688839554786682,4,3
28,Hôtel De Brunville,"https://www.booking.com/hotel/fr/hoteldebrunville.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=68a66f2c100200a8&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Just 400 metres from Bayeux Cathedral, this hotel offers a restaurant with a garden courtyard in the heart of the medieval town.",49.2781576863302,-0.703513920307159,3,3
29,Hotel Reine Mathilde,"https://www.booking.com/hotel/fr/reine-mathilde-bayeux.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=68a66f2c100200a8&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Hotel Reine Mathilde is situated in the medieval district, just 300 metres from the Bayeux Tapestry Museum. It offers free Wi-Fi access and modern guest rooms with private bathrooms.",49.276031585766,-0.701724886894226,2,3
30,Le Petit Matin,"https://www.booking.com/hotel/fr/le-petit-matin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=68a66f2c100200a8&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","This guest house is set in a building from the 18th century in Bayeux’s historical district. Le Petit Matin offers a garden, a furnished terrace.",49.2760613343073,-0.709055364131927,3,3
